Job Title,Company,City,State,Country,Date Posted,Skills and Qualifications,Responsibilities,Experience,Full Time,Remote,Contractor,On Site,URL
Cybersecurity Analyst,Booz Allen,McLean,VA,US,25/09/2024,"Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements, Basic Qualifications:
• Knowledge of cybersecurity principles
• Knowledge of networking fundamentals
• Knowledge network security basics
• Ability to obtain a Secret clearance
• HS diploma or GED

Additional Qualifications:
• Knowledge of embedded systems concepts
• Ability to leverage expertise in technical writing and presentations
• Ability to review software source code against secure coding standards
• Ability to analyze documentation, including design documents, architecture diagrams, and interface control documents (ICD), for potential security vulnerabilities

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information",N/A,"Salary at Booz Allen is determined by various factors, including but not limited to location, the individual’s particular combination of education, knowledge, skills, competencies, and experience, as well as contract-specific affordability and organizational requirements. The projected compensation range for this position is $51,600.00 to $106,000.00 (annualized USD). The estimate displayed represents the typical salary range for this position and is just one component of Booz Allen’s total compensation package for employees. This posting will close within 90 days from the Posting Date.",Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-booz-allen-hamilton-JV_IC1158535_KO0,21_KE22,41.htm?jl=1009460543907&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Specialist,"Outsourced Resource, Inc",Frederick,MD,US,24/09/2024,"• Use research analytical skills, prior knowledge, and creativity to troubleshoot and solve technical issues as they arise, possesses effective presentation and communication skills and be proficient with MS Office Tools, • One or more of the following cloud certifications: Amazon Web Services, Microsoft Azure, Google Cloud
• Must meet all requirements for obtaining and maintaining a Public Trust Clearance

Desired Qualifications:
• Bachelors Degree
• Associates Degree with 8 years experience

US Citizenship for clearance requirements","Duties: • Serve as technical SME on client adherence to policies related to cybersecurity and other aspects of the use of cloud services. • Work with cloud providers, client Data Science Division Chief and other stakeholders to develop and assist in the acquisition of data pipelines and other capabilities to support medical research and development needs. • Present the status, issues and other needed information at staff meetings and other venues.","We are seeking an experienced IT Security Specialist to join our team. • Minimum 5+ years hands-on experience supporting cloud environments, developing and administering an IT operations environment, and administering servers on Windows and Linux platforms. • Minimum 5+ years' experience implementing, migrating, managing, and operating systems/applications in an enterprise cloud computing environment as well as deploying and supporting workloads in a cloud environment. • Associates Degree with 8 years experience Experience:",Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cyber-security-specialist-outsourced-resource-inc-JV_IC1153851_KO0,25_KE26,49.htm?jl=1009458618561&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Engineer,MRCC Solutions,Oak Creek,WI,US,25/09/2024,"In this role, you will be responsible for developing, planning, organizing, and conducting the activities to achieve complex cybersecurity certifications, How You Will Do It:

· Complete development, design, testing, and cybersecurity certification assignments for Avionics systems, · Develop cybersecurity requirements and controls, support the development of risk mitigation plans for vulnerability, and support certification and evaluation efforts",N/A,"We are seeking a Senior Data Security Engineer. In this role, you will be responsible for developing, planning, organizing, and conducting the activities to achieve complex cybersecurity certifications. This role may overlap in one or more functional disciplines, such as systems or software engineering. The work requires using advanced cybersecurity principles and a commitment to being an individual leader, gaining experience in all areas of avionics cybersecurity. You will leverage the most advanced modeling and simulation toolsets to evaluate cyber risk and mitigation controls at multiple stages of product development. You will be expected to work on some of the following technologies: cyber AI, machine learning, penetration testing (white, grey, and black box), and cyber range testing, to name a few. · Minimum five years of hands-on experience with Cyber Security Compliance implementation or equivalent. · Experience in cybersecurity for safety-critical products (Aerospace, Automotive, Medical Device, etc...). · Three years of experience developing avionics systems. · Experience with Linux Operating System and scripting. · Experience with airborne device authentication, embedded cross-domain solutions, and tactical cryptographic key management. · Experience with Risk Managed Framework (RMF). · Experience or familiarity with attack trees, tabletops, threat modeling, architectural design analysis, digital signing, software authenticity, root of trust systems, plus threat and vulnerability analysis. Experience:",Yes,No,No,Yes,"https://www.glassdoor.com/job-listing/cyber-security-engineer-m-and-r-consultants-corporation-JV_IC1133587_KO0,23_KE24,55.htm?jl=1009461021790&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
CYBER SECURITY ANALYST II,H. Lee Moffitt Cancer Center,Tampa,FL,US,20/09/2024,"Credentials and Qualifications:
• High School Diploma/GED with 9 years of professional experience related to Cybersecurity across various platforms and applications, • Proven business skills including: effective oral and written communication, issue resolution, self-motivation, and planning, • Strong analytical and organizational skills with strong critical thinking and problem solving abilities","Research Institute. Primary responsibilities of this position include support of the enterprise and cloudbased  security applications and services  Responsibilities: • Assists in the evaluation of security products, services and/or procedures to enhance productivity and effectiveness. • Monitors and analyzes various system and server logs for unexpected and/or unusual activity. • Assists in deploying and monitoring security and control measures to address identified risks.  Credentials and Qualifications: • High School Diploma/GED with 9 years of professional experience related to Cybersecurity across various platforms and applications. • or • Associates Degree and 7 years exp. • or • Bach Degree and 5 years exp • or • Masters Degree with 3 years exp • Proven ability as a member of a Cyber Security team and the ability to communicate technical and security-related concepts to a broad range of technical and non-technical staff. • Strong analytical and organizational skills with strong critical thinking and problem solving abilities. • Proven business skills including: effective oral and written communication, issue resolution, self-motivation, and planning. • Hardware based firewalls, IDS, VPNs, TCP/IP Protocols, virus protection, and other security devices. • Hands-on expertise using two or more of the following 2 security technologies: • Security auditing, assessment & penetration testing tools and procedures. • High availability application layer and/or state full inspection based firewalls. • VPN gateways & remote access clients. • Public key Infrastructures including Certificate Authority (CA), Registration Authority (RA) and Certificate Repository. • Secure Internets, Intranets, and Extranets. • Distributed authentication systems & devices including smart cards & biometric devices. • Network & Host Based Intrusion Detection Systems. • Security operations administration & management.  Location: H. Lee Moffitt Cancer Center & Research Institute · Cyber Security Oper  Schedule: Full Time, Day Shift, M-F 8-5",• High School Diploma/GED with 9 years of professional experience related to Cybersecurity across various platforms and applications.,No,Yes,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-ii-h-lee-moffitt-cancer-center-JV_IC1154429_KO0,25_KE26,53.htm?jl=1009454688680&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Analyst,SAIC,Panama City Beach,FL,US,20/09/2024,"Job ID: 2412282

Location: PANAMA CITY BEACH, FL, US

Date Posted: 2024-09-20

Category: Cyber

Subcategory: Cybersecurity Ops

Schedule: Full-time

Shift: Day Job

Travel: No

Minimum Clearance Required: Interim Secret

Clearance Level Must Be Able to Obtain: Secret

Potential for Remote Work: No

Description

SAIC is seeking a highly skilled and motivated Cyber Security Analyst to join our team, Qualifications

Required Education:

Bachelors and two (2) years or more related experience; Masters and zero (0) years related experience; four(4) years of experience accepted in lieu of degree

Required Qualifications:
• Direct RMF (Risk Management Framework) experience within the last 3 months, Certifications:

CompTIA Security+ certification is required prior to first day of employment

SAIC accepts applications on an ongoing basis and there is no deadline","Job Responsibilities: • Perform daily scanning tasks within tenable environment • Analyze security logs • Develop and implement security policies and procedures • Stay current with the latest cyber security threats and trends • Provide training and education to employees on cyber security best practices • Maintain and update security systems and software • Collaborate with other IT and security teams to ensure the overall security of the organization • Responsible for ensuring that all RMF related responsibilities are performed for the indicated system or lab. • Coordinate with, report to and advise ISSM • Ensure artifacts are updated and moved through appropriate workflows, both within eMASS and with system administrators. • Execution of SAR/MFR process.  Qualifications  Required Education:  Bachelors and two (2) years or more related experience; Masters and zero (0) years related experience; four(4) years of experience accepted in lieu of degree  Required Qualifications: • Direct RMF (Risk Management Framework) experience within the last 3 months. • Experience/familiarity with NIST SP 800-53 implementation guidance to provide test results for assessment procedures in eMASS. • Familiarity with DoD, DON, NAVSEA/NAVWAR Instruction and can support production of local policy documentation. • Prefer experience working with or performing duties as a Navy Qualified Validator • Familiarity with RMF package types and nuances in eMASS workflows (IATT, Assess Only, System Categorization, Security Plan, Security Assessment Plan, etc.) • Experience identifying and coordinating with System Sponsors, Program Offices, Program Executive Offices, Security Control Assessors, Package Submitting Officials, and differing Authorization Officials. • Expert/Proficient in utilizing Microsoft Office tools to include Outlook, Word, Excel, Visio, and Teams. • Expert/Proficient with written/oral communication and can execute daily RMF duties with limited guidance or direction. • Knowledge and experience ensuring the rigorous application of information security/cyber assurance policies, principles, and practices in the delivery of all IT services; specifically, performing ACAS/SCAP scans, implementing Security Technical Implementation Guides (STIGs), and Information Assurance Vulnerability Management (IAVMs).  Clearance:  US Citizen with the ability to obtain a Secret security clearance.  Certifications:  CompTIA Security+ certification is required prior to first day of employment  SAIC accepts applications on an ongoing basis and there is no deadline.","Bachelors and two (2) years or more related experience; Masters and zero (0) years related experience; four(4) years of experience accepted in lieu of degree • Direct RMF (Risk Management Framework) experience within the last 3 months. • Experience/familiarity with NIST SP 800-53 implementation guidance to provide test results for assessment procedures in eMASS. • Prefer experience working with or performing duties as a Navy Qualified Validator • Experience identifying and coordinating with System Sponsors, Program Offices, Program Executive Offices, Security Control Assessors, Package Submitting Officials, and differing Authorization Officials. • Knowledge and experience ensuring the rigorous application of information security/cyber assurance policies, principles, and practices in the delivery of all IT services; specifically, performing ACAS/SCAP scans, implementing Security Technical Implementation Guides (STIGs), and Information Assurance Vulnerability Management (IAVMs).",Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-saic-JV_IC1154306_KO0,21_KE22,26.htm?jl=1009455599661&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cyber Security Analyst,"Technology Security Associates, Inc.",,MD,US,14/09/2024,"JHNA Technology Security is seeking a Cyber Security Analyst to serve as an Information System Security Engineer (ISSE) for the support of tasking that involves the analysis of the posture of systems in support of system certification and accreditation, • Security+ CE or equivalent DoD approved 8140 baseline certifications, • Organizational skills

Qualifications Desired:
• Experience with NAVAIR RMF Process
• DISA STIG experience
• ACAS/Nessus experience
• Experience with eMASS, VRAM, DITPR/DADMS
• Demonstrated experience implementing project management principles and managing, tracking, and coordinating a wide range of actions, documents, and tasks through completion, Word, Excel, PowerPoint, and Project)
• Excellent oral and written communications skills, Qualifications Required:
• Ability to obtain security clearance - interim required to start working, • Working knowledge of PowerShell
• Helpdesk experience and basic troubleshooting skills
• Willingness to progress to more advanced problem solving, Good interpersonal communications skills","Duties/Responsibilities: • Work with Information System Security Officer (ISSO) and Information System Security Manager (ISSM) to develop technical solutions to problems, implement enhancements and upgrade system architectures. • Implement Categorization for Security Control selection. • Create, maintain, and update required Risk Management Framework (RMF) artifacts for ATO packages.","• Associate degree and two (2) years of experience OR HS Diploma and five (5) years of experience. • Helpdesk experience and basic troubleshooting skills • Experience with creating/maintaining documentation. • Experience with NAVAIR RMF Process • DISA STIG experience • ACAS/Nessus experience • Experience with eMASS, VRAM, DITPR/DADMS • Demonstrated experience implementing project management principles and managing, tracking, and coordinating a wide range of actions, documents, and tasks through completion.",No,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-technology-security-associates-inc-JV_IC5022290_KO0,22_KE23,57.htm?jl=1009406896516&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Associate Cybersecurity Specialist,Jolt Technology,,,US,10/09/2024,"firmware

Refined written and verbal communication skills

Ability to simplify the technical aspects of issues to the client

M365, Azure AD, Entra/Intune, & power shell/scripting experience

Systems planning, security principles, functional shell code fundamentals, and general software management best practices","Responsibilities:  Acts as project leader on information security projects.  Evaluates new systems and products for security monitoring and response.  Assesses the need for security reconfiguration (minor or significant) and executes them as required.  Monitors and maintains current knowledge of emerging security alerts, issues, threats and trends.  Conducts research on emerging products, services, protocols, and standards in support of security enhancement and development efforts.  Builds and maintains tolls, flags and triggers in order to proactively monitor and respond to emerging threats.  Conducts technical assessments of information security incidents, including malware analysis, packet level analysis, and system level forensic analysis.  Coordinate and provide technical updates to management throughout incident management cycles.  Deploys and maintains security systems and corresponding or associated software, including firewalls, mail filtering systems, antivirus and other security software.  Recommend, schedule and apply fixes, security patches, disaster recovery procedures, and any other measures required in order to address security breaches and well as maintaining network firmware on a scheduled basis.  Develops and implements enforcement policies, procedures and associated plans for system security administration and user system access based on industry-standard best practices.  Designs, implements, and reports on IT Security performance results, audits, and recommendations and end user activity audits.  Manage and maintain system patching schedules and keep systems updated  Work with other specialists and leaders to consider security in all business aspects.  Additional tasks as required.  firmware  Refined written and verbal communication skills  Ability to simplify the technical aspects of issues to the client  M365, Azure AD, Entra/Intune, & power shell/scripting experience  Systems planning, security principles, functional shell code fundamentals, and general software management best practices.  Current software protocols, and Internet standards, including TCP/IP, DNS, DHCP, routers, LAN/WAN, etc.  Software troubleshooting experience.  Testing, flow charting, and data mapping tools and procedures.  Knowledge of applicable practices and laws relating to data privacy and protections.  Well versed in multiple security technologies such as SIEM; Intrusion Detection Systems; End-point security; Web Proxy/Content Filtering; Active Directory, PKI, Radius, Log Analysis, etc.  Broad knowledge of business-impacting security scenarios and viable methods to detect these scenarios.  Job Type: Full-time  Pay: $50,000.00 - $60,000.00 per year  Experience: • Entra: 2 years (Required) • AzureAD: 2 years (Required)  Ability to Commute: • St. Louis, MO 63144 (Required)  Work Location: In person","M365, Azure AD, Entra/Intune, & power shell/scripting experience Software troubleshooting experience. Experience:",Yes,No,No,No,"https://www.glassdoor.com/job-listing/associate-cybersecurity-specialist-jolt-technology-JV_KO0,34_KE35,50.htm?jl=1009441017701&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Associate Cybersecurity Analyst, GRC",CenterPoint Energy,Houston,TX,US,18/09/2024,"Diversity, Equity and Inclusion

CenterPoint Energy is committed to creating an inclusive work environment where business results are achieved through the skills, abilities and talents of our diverse workforce, • Promotes productivity and teamwork in assigned area with open communication, timely decision making, and use of personal leadership skills to set high standards of performance while providing the direction necessary to achieve that performance, Our Commitment: CenterPoint Energy is committed to creating an inclusive work environment where business results are achieved through the skills, abilities and talents of our diverse workforce, • Demonstrated program and project management planning/execution skills, • CISSP, CRISC, or other relevant certifications preferred",N/A,"Experience • A minimum of one (1) year experience in cybersecurity, security auditing, or relevant IT role working with cybersecurity concepts and tools is required. • Experience in data processing and analytics preferred. • In-depth knowledge and experience in technology risk assessments and risk management preferred. • Experience working with common information security standards, such as NIST Cybersecurity Framework (NIST) preferred.",No,No,Yes,Yes,"https://www.glassdoor.com/job-listing/associate-cybersecurity-analyst-grc-centerpoint-energy-JV_IC1140171_KO0,35_KE36,54.htm?jl=1009451419362&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Cybersecurity Analyst,Founders Federal Credit Union,Lancaster,SC,US,12/09/2024,"• Strong data analysis, research, analytical and testing skills, The ideal candidate must have the following skills & qualifications:
• Excellent communication, documentation skills, and the ability to understand and explain technical details to technical and non-technical audiences is required to be successful, Benefits provided include the following:
• Paid Holidays
• Paid Time Off
• Family-oriented culture that values work/life balance
• Retirement Plan (401k with employer contributions + Pension Plan fully funded by FFCU)
• Comprehensive Health and Dental Insurance
• Life and Accidental Death & Dismemberment Insurance (at no cost to employee)
• Voluntary Supplemental Life Insurance coverage for employee, spouse, and children
• Health Care and Dependent Care Flexible spending accounts
• Long Term Care Plan
• Short-Term and Long-Term Disability Insurance
• Tuition reimbursement to assist with furthering education
• Certifications - Assistance with achieving and maintaining
• Fit Founders Wellness Program

EEO

A pre-employment credit check, background screening, drug screening, and reference check will be required, • ISACA Cybersecurity Fundamentals certification is required within 12 months","Responsibilities and Duties:  The Cybersecurity Analyst is responsible for ensuring effective integration of Information Technology systems and services with the Information Security Program and Information Security Policy. The Cybersecurity Analyst is primarily responsible for protecting Founders from cyberattacks. This involves researching upcoming IT trends, reviewing suspicious activities, reporting security breaches, and educating employees on cybersecurity. The Cybersecurity Analyst will support and participate in the FIT offerings related to cybersecurity.  Additional responsibilities include, but are not limited to: • Monitor cybersecurity software used in environment. • Investigate incoming alerts and escalate as necessary. • Investigate suspicious email reports. • Review incoming incident response hotline calls. • Threat hunting within the environment to prevent security incidents. • Perform vulnerability scans in environment. Research solutions to vulnerabilities and work alongside system owners and techs to remediate vulnerabilities. • Create Threat Assessments to aid in evaluating risks posed by vulnerabilities or potential threats based on research of upcoming trends and intelligence feeds. • Work with other CSOC team members to create and execute Security Awareness Training and Testing for the enterprise and FIT clients. • Gather information as required to present in board reports. • Assist with maintaining email filtering systems and release emails when deemed safe. • Participate in CSOC team meetings. • Assist with reviewing and remediating items found during audits, both internal and external. • Develop and support cybersecurity environments for FIT CUSO clients. • On-Call Rotation for after hour alerts/cybersecurity. • Comply with Founders’ policies and procedures, as well as applicable laws, regulations, and statutes issued by federal agencies such as NCUA and FFIEC, including, but not limited to, GLBA and BSA. Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality. • All other duties as assigned.  Job Specifications:  The Cybersecurity Analyst must have the ability to analyze, research, and resolve questions and possess the ability to learn quickly and adjust to technological changes. The ideal candidate must have the following skills & qualifications: • Excellent communication, documentation skills, and the ability to understand and explain technical details to technical and non-technical audiences is required to be successful. • Ability to effectively communicate on complex issues with a high level of effectiveness. • The ability to work in a team, present a trustworthy image, and deal effectively with others is required. • Must be a self-starter with the ability to manage multiple work assignments and priorities with urgent deadlines, maintain excellent service delivery, while working with a fast-paced team. • Strong data analysis, research, analytical and testing skills. • Able to work independently without significant supervision. • Bachelor’s degree in computer science or a related field is preferred. • ISACA Cybersecurity Fundamentals certification is required within 12 months.  Due to the nature of project deadlines and implementation schedules, evening and weekend work may be required.  Due to the critical nature of data security, each employee has the responsibility to protect company data. Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality. Guidance is contained in the company information security policies. Violations of policy may result in disciplinary action, up to and including termination.  Adhere to the principle of least privilege to reduce the risk of unauthorized access to critical systems or sensitive data by maintaining account permissions to accounts, processes and programs only required to do the job assigned.  Follow the asset management lifecycle process and procedures to support the efforts in maintaining an accurate and efficient configuration management inventory.  Maintain a knowledge and understanding of the roles and responsibilities of the Incident Response teams defined in the Incident Response Plan.  Benefits provided include the following: • Paid Holidays • Paid Time Off • Family-oriented culture that values work/life balance • Retirement Plan (401k with employer contributions + Pension Plan fully funded by FFCU) • Comprehensive Health and Dental Insurance • Life and Accidental Death & Dismemberment Insurance (at no cost to employee) • Voluntary Supplemental Life Insurance coverage for employee, spouse, and children • Health Care and Dependent Care Flexible spending accounts • Long Term Care Plan • Short-Term and Long-Term Disability Insurance • Tuition reimbursement to assist with furthering education • Certifications - Assistance with achieving and maintaining • Fit Founders Wellness Program  EEO  A pre-employment credit check, background screening, drug screening, and reference check will be required.  #FoundersFCU  #ZR","Do you have experience implementing security controls, penetration testing and cybersecurity risk assessments? If so, this position may be the right fit for you! Founders is searching for a passionate cybersecurity professional to join our IT team as a Cybersecurity Analyst. This position is located on site at our Corporate Headquarters in Lancaster, SC. Remote work is not available, however the individual may be able to work at our Rock Hill Center upon completion of training.",No,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-founders-federal-credit-union-JV_IC1155237_KO0,21_KE22,51.htm?jl=1009444812827&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
Associate - Application Cybersecurity,United Airlines,Chicago,IL,US,13/09/2024,"• Provide ongoing support and completion of daily tasks for cybersecurity programs such as incident response, application cybersecurity, vulnerability management and remediation, aircraft cyber operations, cloud and infrastructure cybersecurity, data protection and privacy, and risk management and compliance
• Support cybersecurity threat assessments
• Assist with the review and updates to documentation of company processes, policies, and standards
• Interpret relevant laws, regulations and policies
• Collaborate with digital technology, business teams and external partners to build relationships supporting accountabilities and ensure consistency, adaptability, responsiveness and effectiveness of security solutions
• Communicate information, concepts and metrics in a confident and well-organized manner through verbal, written and visual means

United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply, , interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience)
• Able to learn from others and self-teach to continuously grow
• Must be legally authorized to work in the United States for any employer without sponsorship
• Successful completion of interview required to meet job qualification
• Reliable, punctual attendance is an essential function of the position

What will help you propel from the pack (Preferred Qualifications):
• STEM, Cybersecurity education
• 2+ years of experience with Application Cybersecurity
• Moderate programming skills
• Basic knowledge of computer operating systems, network design, embedded security and security architecture principles
• Knowledge of security engineering and architecture concepts

United Airlines is an equal opportunity employer, Qualifications

What’s needed to succeed (Minimum Qualifications):
• Bachelor's degree or 4+ years of experience in lieu of degree
• Ability to overcome challenges and within time constraints
• Ability to perform in a dynamic environment and manage multiple projects and priorities
• Strong analytical and problem-solving skills, detail oriented & organized approach
• Skilled in communicating with all levels of management (e, While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes","Key Responsibilities:  The Associate – Cybersecurity is responsible for assisting with the implementation of Cybersecurity and Digital Risk programs. They protect our airline and its customers by helping to implement programs consistent with the latest developments in cybersecurity. They are part of a cross-disciplinary cyber team that takes a proactive and risk-based approach to identifying and addressing cyber risks and incidents in order to protect United from cyber attacks. • Provide ongoing support and completion of daily tasks for cybersecurity programs such as incident response, application cybersecurity, vulnerability management and remediation, aircraft cyber operations, cloud and infrastructure cybersecurity, data protection and privacy, and risk management and compliance • Support cybersecurity threat assessments • Assist with the review and updates to documentation of company processes, policies, and standards • Interpret relevant laws, regulations and policies • Collaborate with digital technology, business teams and external partners to build relationships supporting accountabilities and ensure consistency, adaptability, responsiveness and effectiveness of security solutions • Communicate information, concepts and metrics in a confident and well-organized manner through verbal, written and visual means  United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes. We are always looking for individuals who will bring something new to the table.  Qualifications  What’s needed to succeed (Minimum Qualifications): • Bachelor's degree or 4+ years of experience in lieu of degree • Ability to overcome challenges and within time constraints • Ability to perform in a dynamic environment and manage multiple projects and priorities • Strong analytical and problem-solving skills, detail oriented & organized approach • Skilled in communicating with all levels of management (e.g., interpersonal skills, approachability, effective listening skills, appropriate use of style and language for the audience) • Able to learn from others and self-teach to continuously grow • Must be legally authorized to work in the United States for any employer without sponsorship • Successful completion of interview required to meet job qualification • Reliable, punctual attendance is an essential function of the position  What will help you propel from the pack (Preferred Qualifications): • STEM, Cybersecurity education • 2+ years of experience with Application Cybersecurity • Moderate programming skills • Basic knowledge of computer operating systems, network design, embedded security and security architecture principles • Knowledge of security engineering and architecture concepts  United Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status, and other protected status as required by applicable law. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions. Please contact JobAccommodations@united.com to request accommodation.  Post end date: 7/1/2024  Posted Range: 65,700-96,360  Equal Opportunity Employer - Minorities/Women/Veterans/Disabled/LGBT","United values diverse experiences, perspectives, and we encourage everyone who meets the minimum qualifications to apply. While having the “desired” qualifications make for a stronger candidate, we encourage applicants who may not feel they check ALL of those boxes. We are always looking for individuals who will bring something new to the table. • Bachelor's degree or 4+ years of experience in lieu of degree • 2+ years of experience with Application Cybersecurity",No,No,No,No,"https://www.glassdoor.com/job-listing/associate-application-cybersecurity-united-airlines-JV_IC1128808_KO0,35_KE36,51.htm?jl=1009321210874&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
