job_title,company,city,state,country,date_posted,skills_and_qualifications,responsibilities,experience,full_time,remote,contractor,on_site,url,years_experience
Jr Cyber Security Analyst,Resolvetech Solutions,Houston,TX,US,25/09/2024,,,Experience  Work Description  One1  Two2yearsJunior Level of relevant experience or education,No,No,No,No,"https://www.glassdoor.com/job-listing/jr-cyber-security-analyst-resolvetech-solutions-JV_IC1140171_KO0,25_KE26,47.htm?jl=1009460635205&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2
Assoc DirectorCybersecurity,ATT,,,US,26/09/2024,"Qualifications
 Preferred Masters degree in Information Systems Engineering or Cyber Security related fields  CISSP CISM or similar industry certification highly desired",,Join ATT and reimagine the communications and technologies that connect the world Our Chief Security Office ensures that our assets are safeguarded through truthful transparency enforce accountability and master cybersecurity to stay ahead of threats Bring your bold ideas and fearless risktaking to redefine connectivity and transform how the world shares stories and experiences that matter When you step into a career with ATT you wont just imagine the futureyoull create it  8  10 years of relevant experience in cybersecurity with a focus on AI technologies  Experience in AI technologies and their application in cybersecurity contexts Our Associate Director Cybersecurity earns between 155400  261000 USD Annual Not to mention all the other amazing rewards that working at ATT offers Individual starting salary within this range may depend on geography experience expertise and educationtraining,No,No,No,No,"https://www.glassdoor.com/job-listing/assoc-director-cybersecurity-at-and-t-JV_KO0,28_KE29,37.htm?jl=1009461628671&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",10
Cyber Security Specialist,Outsourced Resource Inc,Frederick,MD,US,24/09/2024," One or more of the following cloud certifications Amazon Web Services Microsoft Azure Google Cloud
 Must meet all requirements for obtaining and maintaining a Public Trust Clearance

Desired Qualifications
 Bachelors Degree
 Associates Degree with 8 years experience

US Citizenship for clearance requirements  Use research analytical skills prior knowledge and creativity to troubleshoot and solve technical issues as they arise possesses effective presentation and communication skills and be proficient with MS Office Tools",Duties  Serve as technical SME on client adherence to policies related to cybersecurity and other aspects of the use of cloud services  Work with cloud providers client Data Science Division Chief and other stakeholders to develop and assist in the acquisition of data pipelines and other capabilities to support medical research and development needs  Present the status issues and other needed information at staff meetings and other venues,We are seeking an experienced IT Security Specialist to join our team  Minimum 5 years handson experience supporting cloud environments developing and administering an IT operations environment and administering servers on Windows and Linux platforms  Minimum 5 years experience implementing migrating managing and operating systemsapplications in an enterprise cloud computing environment as well as deploying and supporting workloads in a cloud environment  Associates Degree with 8 years experience Experience,Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cyber-security-specialist-outsourced-resource-inc-JV_IC1153851_KO0,25_KE26,49.htm?jl=1009458618561&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",5
Cyber Security Engineer,MRCC Solutions,Oak Creek,WI,US,25/09/2024," Develop cybersecurity requirements and controls support the development of risk mitigation plans for vulnerability and support certification and evaluation efforts How You Will Do It

 Complete development design testing and cybersecurity certification assignments for Avionics systems In this role you will be responsible for developing planning organizing and conducting the activities to achieve complex cybersecurity certifications",,We are seeking a Senior Data Security Engineer In this role you will be responsible for developing planning organizing and conducting the activities to achieve complex cybersecurity certifications This role may overlap in one or more functional disciplines such as systems or software engineering The work requires using advanced cybersecurity principles and a commitment to being an individual leader gaining experience in all areas of avionics cybersecurity You will leverage the most advanced modeling and simulation toolsets to evaluate cyber risk and mitigation controls at multiple stages of product development You will be expected to work on some of the following technologies cyber AI machine learning penetration testing white grey and black box and cyber range testing to name a few  Minimum five years of handson experience with Cyber Security Compliance implementation or equivalent  Experience in cybersecurity for safetycritical products Aerospace Automotive Medical Device etc  Three years of experience developing avionics systems  Experience with Linux Operating System and scripting  Experience with airborne device authentication embedded crossdomain solutions and tactical cryptographic key management  Experience with Risk Managed Framework RMF  Experience or familiarity with attack trees tabletops threat modeling architectural design analysis digital signing software authenticity root of trust systems plus threat and vulnerability analysis Experience,Yes,No,No,Yes,"https://www.glassdoor.com/job-listing/cyber-security-engineer-m-and-r-consultants-corporation-JV_IC1133587_KO0,23_KE24,55.htm?jl=1009461021790&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Unknown
CYBER SECURITY ANALYST II,H Lee Moffitt Cancer Center,Tampa,FL,US,20/09/2024,"Credentials and Qualifications
 High School DiplomaGED with 9 years of professional experience related to Cybersecurity across various platforms and applications  Proven business skills including effective oral and written communication issue resolution selfmotivation and planning  Strong analytical and organizational skills with strong critical thinking and problem solving abilities",Research Institute Primary responsibilities of this position include support of the enterprise and cloudbased  security applications and services  Responsibilities  Assists in the evaluation of security products services andor procedures to enhance productivity and effectiveness  Monitors and analyzes various system and server logs for unexpected andor unusual activity  Assists in deploying and monitoring security and control measures to address identified risks  Credentials and Qualifications  High School DiplomaGED with 9 years of professional experience related to Cybersecurity across various platforms and applications  or  Associates Degree and 7 years exp  or  Bach Degree and 5 years exp  or  Masters Degree with 3 years exp  Proven ability as a member of a Cyber Security team and the ability to communicate technical and securityrelated concepts to a broad range of technical and nontechnical staff  Strong analytical and organizational skills with strong critical thinking and problem solving abilities  Proven business skills including effective oral and written communication issue resolution selfmotivation and planning  Hardware based firewalls IDS VPNs TCPIP Protocols virus protection and other security devices  Handson expertise using two or more of the following 2 security technologies  Security auditing assessment  penetration testing tools and procedures  High availability application layer andor state full inspection based firewalls  VPN gateways  remote access clients  Public key Infrastructures including Certificate Authority CA Registration Authority RA and Certificate Repository  Secure Internets Intranets and Extranets  Distributed authentication systems  devices including smart cards  biometric devices  Network  Host Based Intrusion Detection Systems  Security operations administration  management  Location H Lee Moffitt Cancer Center  Research Institute  Cyber Security Oper  Schedule Full Time Day Shift MF 85, High School DiplomaGED with 9 years of professional experience related to Cybersecurity across various platforms and applications,No,Yes,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-ii-h-lee-moffitt-cancer-center-JV_IC1154429_KO0,25_KE26,53.htm?jl=1009454688680&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",9
Associate Cybersecurity Analyst GRC,CenterPoint Energy,Houston,TX,US,18/09/2024," Demonstrated program and project management planningexecution skills  CISSP CRISC or other relevant certifications preferred Our Commitment CenterPoint Energy is committed to creating an inclusive work environment where business results are achieved through the skills abilities and talents of our diverse workforce  Promotes productivity and teamwork in assigned area with open communication timely decision making and use of personal leadership skills to set high standards of performance while providing the direction necessary to achieve that performance Diversity Equity and Inclusion

CenterPoint Energy is committed to creating an inclusive work environment where business results are achieved through the skills abilities and talents of our diverse workforce",,Experience  A minimum of one 1 year experience in cybersecurity security auditing or relevant IT role working with cybersecurity concepts and tools is required  Experience in data processing and analytics preferred  Indepth knowledge and experience in technology risk assessments and risk management preferred  Experience working with common information security standards such as NIST Cybersecurity Framework NIST preferred,No,No,Yes,Yes,"https://www.glassdoor.com/job-listing/associate-cybersecurity-analyst-grc-centerpoint-energy-JV_IC1140171_KO0,35_KE36,54.htm?jl=1009451419362&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Unknown
Cybersecurity Analyst,SAIC,Panama City Beach,FL,US,20/09/2024,"Job ID 2412282

Location PANAMA CITY BEACH FL US

Date Posted 20240920

Category Cyber

Subcategory Cybersecurity Ops

Schedule Fulltime

Shift Day Job

Travel No

Minimum Clearance Required Interim Secret

Clearance Level Must Be Able to Obtain Secret

Potential for Remote Work No

Description

SAIC is seeking a highly skilled and motivated Cyber Security Analyst to join our team Qualifications

Required Education

Bachelors and two 2 years or more related experience Masters and zero 0 years related experience four4 years of experience accepted in lieu of degree

Required Qualifications
 Direct RMF Risk Management Framework experience within the last 3 months Certifications

CompTIA Security certification is required prior to first day of employment

SAIC accepts applications on an ongoing basis and there is no deadline",Job Responsibilities  Perform daily scanning tasks within tenable environment  Analyze security logs  Develop and implement security policies and procedures  Stay current with the latest cyber security threats and trends  Provide training and education to employees on cyber security best practices  Maintain and update security systems and software  Collaborate with other IT and security teams to ensure the overall security of the organization  Responsible for ensuring that all RMF related responsibilities are performed for the indicated system or lab  Coordinate with report to and advise ISSM  Ensure artifacts are updated and moved through appropriate workflows both within eMASS and with system administrators  Execution of SARMFR process  Qualifications  Required Education  Bachelors and two 2 years or more related experience Masters and zero 0 years related experience four4 years of experience accepted in lieu of degree  Required Qualifications  Direct RMF Risk Management Framework experience within the last 3 months  Experiencefamiliarity with NIST SP 80053 implementation guidance to provide test results for assessment procedures in eMASS  Familiarity with DoD DON NAVSEANAVWAR Instruction and can support production of local policy documentation  Prefer experience working with or performing duties as a Navy Qualified Validator  Familiarity with RMF package types and nuances in eMASS workflows IATT Assess Only System Categorization Security Plan Security Assessment Plan etc  Experience identifying and coordinating with System Sponsors Program Offices Program Executive Offices Security Control Assessors Package Submitting Officials and differing Authorization Officials  ExpertProficient in utilizing Microsoft Office tools to include Outlook Word Excel Visio and Teams  ExpertProficient with writtenoral communication and can execute daily RMF duties with limited guidance or direction  Knowledge and experience ensuring the rigorous application of information securitycyber assurance policies principles and practices in the delivery of all IT services specifically performing ACASSCAP scans implementing Security Technical Implementation Guides STIGs and Information Assurance Vulnerability Management IAVMs  Clearance  US Citizen with the ability to obtain a Secret security clearance  Certifications  CompTIA Security certification is required prior to first day of employment  SAIC accepts applications on an ongoing basis and there is no deadline,Bachelors and two 2 years or more related experience Masters and zero 0 years related experience four4 years of experience accepted in lieu of degree  Direct RMF Risk Management Framework experience within the last 3 months  Experiencefamiliarity with NIST SP 80053 implementation guidance to provide test results for assessment procedures in eMASS  Prefer experience working with or performing duties as a Navy Qualified Validator  Experience identifying and coordinating with System Sponsors Program Offices Program Executive Offices Security Control Assessors Package Submitting Officials and differing Authorization Officials  Knowledge and experience ensuring the rigorous application of information securitycyber assurance policies principles and practices in the delivery of all IT services specifically performing ACASSCAP scans implementing Security Technical Implementation Guides STIGs and Information Assurance Vulnerability Management IAVMs,Yes,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-saic-JV_IC1154306_KO0,21_KE22,26.htm?jl=1009455599661&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2
Cyber Security Analyst,Technology Security Associates Inc,,MD,US,14/09/2024,"JHNA Technology Security is seeking a Cyber Security Analyst to serve as an Information System Security Engineer ISSE for the support of tasking that involves the analysis of the posture of systems in support of system certification and accreditation  Security CE or equivalent DoD approved 8140 baseline certifications Good interpersonal communications skills  Working knowledge of PowerShell
 Helpdesk experience and basic troubleshooting skills
 Willingness to progress to more advanced problem solving  Organizational skills

Qualifications Desired
 Experience with NAVAIR RMF Process
 DISA STIG experience
 ACASNessus experience
 Experience with eMASS VRAM DITPRDADMS
 Demonstrated experience implementing project management principles and managing tracking and coordinating a wide range of actions documents and tasks through completion Qualifications Required
 Ability to obtain security clearance  interim required to start working Word Excel PowerPoint and Project
 Excellent oral and written communications skills",DutiesResponsibilities  Work with Information System Security Officer ISSO and Information System Security Manager ISSM to develop technical solutions to problems implement enhancements and upgrade system architectures  Implement Categorization for Security Control selection  Create maintain and update required Risk Management Framework RMF artifacts for ATO packages, Associate degree and two 2 years of experience OR HS Diploma and five 5 years of experience  Helpdesk experience and basic troubleshooting skills  Experience with creatingmaintaining documentation  Experience with NAVAIR RMF Process  DISA STIG experience  ACASNessus experience  Experience with eMASS VRAM DITPRDADMS  Demonstrated experience implementing project management principles and managing tracking and coordinating a wide range of actions documents and tasks through completion,No,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-technology-security-associates-inc-JV_IC5022290_KO0,22_KE23,57.htm?jl=1009406896516&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",2
Cybersecurity Analyst,Founders Federal Credit Union,Lancaster,SC,US,12/09/2024," Strong data analysis research analytical and testing skills The ideal candidate must have the following skills  qualifications
 Excellent communication documentation skills and the ability to understand and explain technical details to technical and nontechnical audiences is required to be successful Benefits provided include the following
 Paid Holidays
 Paid Time Off
 Familyoriented culture that values worklife balance
 Retirement Plan 401k with employer contributions  Pension Plan fully funded by FFCU
 Comprehensive Health and Dental Insurance
 Life and Accidental Death  Dismemberment Insurance at no cost to employee
 Voluntary Supplemental Life Insurance coverage for employee spouse and children
 Health Care and Dependent Care Flexible spending accounts
 Long Term Care Plan
 ShortTerm and LongTerm Disability Insurance
 Tuition reimbursement to assist with furthering education
 Certifications  Assistance with achieving and maintaining
 Fit Founders Wellness Program

EEO

A preemployment credit check background screening drug screening and reference check will be required  ISACA Cybersecurity Fundamentals certification is required within 12 months",Responsibilities and Duties  The Cybersecurity Analyst is responsible for ensuring effective integration of Information Technology systems and services with the Information Security Program and Information Security Policy The Cybersecurity Analyst is primarily responsible for protecting Founders from cyberattacks This involves researching upcoming IT trends reviewing suspicious activities reporting security breaches and educating employees on cybersecurity The Cybersecurity Analyst will support and participate in the FIT offerings related to cybersecurity  Additional responsibilities include but are not limited to  Monitor cybersecurity software used in environment  Investigate incoming alerts and escalate as necessary  Investigate suspicious email reports  Review incoming incident response hotline calls  Threat hunting within the environment to prevent security incidents  Perform vulnerability scans in environment Research solutions to vulnerabilities and work alongside system owners and techs to remediate vulnerabilities  Create Threat Assessments to aid in evaluating risks posed by vulnerabilities or potential threats based on research of upcoming trends and intelligence feeds  Work with other CSOC team members to create and execute Security Awareness Training and Testing for the enterprise and FIT clients  Gather information as required to present in board reports  Assist with maintaining email filtering systems and release emails when deemed safe  Participate in CSOC team meetings  Assist with reviewing and remediating items found during audits both internal and external  Develop and support cybersecurity environments for FIT CUSO clients  OnCall Rotation for after hour alertscybersecurity  Comply with Founders policies and procedures as well as applicable laws regulations and statutes issued by federal agencies such as NCUA and FFIEC including but not limited to GLBA and BSA Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality  All other duties as assigned  Job Specifications  The Cybersecurity Analyst must have the ability to analyze research and resolve questions and possess the ability to learn quickly and adjust to technological changes The ideal candidate must have the following skills  qualifications  Excellent communication documentation skills and the ability to understand and explain technical details to technical and nontechnical audiences is required to be successful  Ability to effectively communicate on complex issues with a high level of effectiveness  The ability to work in a team present a trustworthy image and deal effectively with others is required  Must be a selfstarter with the ability to manage multiple work assignments and priorities with urgent deadlines maintain excellent service delivery while working with a fastpaced team  Strong data analysis research analytical and testing skills  Able to work independently without significant supervision  Bachelors degree in computer science or a related field is preferred  ISACA Cybersecurity Fundamentals certification is required within 12 months  Due to the nature of project deadlines and implementation schedules evening and weekend work may be required  Due to the critical nature of data security each employee has the responsibility to protect company data Employees have legal and regulatory obligations to respect and protect the privacy of information and its integrity and confidentiality Guidance is contained in the company information security policies Violations of policy may result in disciplinary action up to and including termination  Adhere to the principle of least privilege to reduce the risk of unauthorized access to critical systems or sensitive data by maintaining account permissions to accounts processes and programs only required to do the job assigned  Follow the asset management lifecycle process and procedures to support the efforts in maintaining an accurate and efficient configuration management inventory  Maintain a knowledge and understanding of the roles and responsibilities of the Incident Response teams defined in the Incident Response Plan  Benefits provided include the following  Paid Holidays  Paid Time Off  Familyoriented culture that values worklife balance  Retirement Plan 401k with employer contributions  Pension Plan fully funded by FFCU  Comprehensive Health and Dental Insurance  Life and Accidental Death  Dismemberment Insurance at no cost to employee  Voluntary Supplemental Life Insurance coverage for employee spouse and children  Health Care and Dependent Care Flexible spending accounts  Long Term Care Plan  ShortTerm and LongTerm Disability Insurance  Tuition reimbursement to assist with furthering education  Certifications  Assistance with achieving and maintaining  Fit Founders Wellness Program  EEO  A preemployment credit check background screening drug screening and reference check will be required  FoundersFCU  ZR,Do you have experience implementing security controls penetration testing and cybersecurity risk assessments If so this position may be the right fit for you Founders is searching for a passionate cybersecurity professional to join our IT team as a Cybersecurity Analyst This position is located on site at our Corporate Headquarters in Lancaster SC Remote work is not available however the individual may be able to work at our Rock Hill Center upon completion of training,No,Yes,No,No,"https://www.glassdoor.com/job-listing/cybersecurity-analyst-founders-federal-credit-union-JV_IC1155237_KO0,21_KE22,51.htm?jl=1009444812827&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Unknown
Cyber Security Analyst,St Claire HealthCare,Morehead,KY,US,30/08/2024,"Team skills necessary to participate in projects with all levels of medical center staff LicensureCertification

CybersecuritySecurity certification required  Conducts cybersecurity test and evaluation of hardware andor software designs to verify and validate compliance with defined specifications and requirements
 Evaluation of cybersecurity tooling and implementation as needed
 Participate in feature design grooming peer reviews and documentation processes to ensure secure product
 Build and maintain relationships necessary for the successful execution and sustainability of the product portfolio cybersecurity program
 Stay abreast of changes in the business and product environment as well as the evolving regulatory and threat landscape
 Ability to articulate technical discussions to a variety of internal external and customer stakeholder groups

SkillsAbilities
 Good communication and project skills",DutiesResponsibilities  Responsible for ensuring products are safe secure and are compliant with division corporate and industry regulation and meet customer and patient security expectations  Works within an agile collaborative multidiscipline environment to produce compliant and secure products Identifies cybersecurity risks vulnerabilities and helps concept and deliver mitigating functionality  Perform vulnerability assessments analyze impact of vulnerabilities on software and developimplement mitigations  Perform threat analysismodeling gap analysis and security for onmarket and indevelopment products  Owns the product cybersecurity deliverables and process compliance Capable of following cybersecurity processes methods techniques and tools and assuring their consistent application,Experience A minimum of one year of experience with information technology in implementation and operation of computer hardware network and software solutions preferred Must be able to communicate with a variety of hospital and information technology personnel Team skills necessary to participate in projects with all levels of medical center staff Systems analysisdesign andor computer programming preferred,No,No,No,No,"https://www.glassdoor.com/job-listing/cyber-security-analyst-st-claire-healthcare-JV_IC1137352_KO0,22_KE23,43.htm?jl=1009099215305&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Unknown
